daily_demand,Cluster,Silhouette,mean_temp,pressure,sunshine,precipitation,global_radiation,max_temp,min_temp
continuous,C1 C2 C3,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,,,,,,,
32285.2,C3,0.532492,13.5,101400,0.0,0.0,76,16.1,10.9
32085.2,C1,0.541673,14.2,100220,1.1,2.0,116,16.0,12.3
27632.5,C2,0.568851,12.4,100590,5.6,1.0,202,17.1,7.7
27385.2,C1,0.543353,11.4,100700,3.1,3.0,159,14.5,8.3
31206.5,C2,0.613591,13.3,101250,7.1,0.6,226,17.0,9.6
31931.8,C2,0.610781,13.7,101730,5.3,0.0,199,17.6,9.8
31928.5,C2,0.611512,13.7,101900,5.7,0.0,206,19.0,8.4
31797.6,C2,0.622661,13.9,101480,9.6,0.0,264,19.8,8.0
30883.8,C2,0.623964,13.9,101710,7.9,0.0,240,20.0,7.8
26847.3,C2,0.629744,14.4,101760,9.2,0.0,259,20.8,8.1
29077.8,C2,0.628891,14.6,101470,5.4,1.2,204,17.8,11.4
30274.2,C3,0.542622,13.4,102220,0.0,0.8,81,18.3,8.5
30409.3,C2,0.57224,16.8,102920,0.6,0.0,107,22.5,11.1
30868.7,C2,0.65216,17.6,102210,5.7,0.0,214,20.1,15.0
30443.9,C1,0.563715,12.4,101010,0.0,3.4,80,14.3,10.6
26152.3,C2,0.559442,12.9,100070,4.9,0.4,201,18.0,7.8
30575.5,C1,0.575546,13.8,100590,1.7,5.0,139,18.7,8.8
31286,C1,0.497572,13.4,100670,0.0,0.2,80,16.0,10.8
31562.1,C1,0.578944,14.4,101010,0.5,5.0,106,16.9,11.8
30850.9,C2,0.639302,16.4,101640,11.1,0.0,294,21.2,11.5
30217,C2,0.568798,14.4,102110,2.1,0.0,149,20.2,8.6
26659.5,C2,0.661591,19.2,101930,5.5,0.8,213,24.7,13.8
25640.4,C2,0.643909,18.8,101800,11.5,0.0,299,24.0,13.6
30539.6,C2,0.659389,19.2,101560,4.8,0.6,201,24.6,13.9
30926.7,C2,0.6443,17.2,102190,10.1,0.0,281,23.8,10.5
30882.4,C2,0.634269,17.8,101780,2.2,0.0,151,23.7,11.8
30375.4,C2,0.627291,15.3,101790,3.7,0.0,182,19.8,10.8
29483.6,C2,0.63861,15.0,102090,6.1,0.6,223,19.8,10.3
26306.2,C2,0.607232,15.5,102380,2.7,0.0,162,19.7,11.3
25491.8,C2,0.644911,16.2,102460,8.3,0.0,256,21.2,11.3
30570.6,C2,0.639007,17.8,102720,4.0,0.0,187,22.7,12.9
30848.1,C2,0.655364,20.7,101410,6.4,0.0,227,28.0,13.4
