daily_demand,date_format,Predicted_daily_demand,Fold,Month,mean_temp,pressure,cloud_cover,Year,sunshine,precipitation
continuous,time,continuous,1 2 3,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,meta,meta,,,,,,,
28534,06-09-2014 00:00,24984.5,1,6,20.6,101580,4,2014,6,1.4
36830.5,26-01-2012 00:00,35122.9,1,1,7.7,100900,5,2012,3.5,0.2
28616.6,08-05-2011 00:00,27417.5,1,8,20,101110,4,2011,7.7,0
30770.2,10-04-2011 00:00,30281.6,1,10,17.1,102030,7,2011,0.9,0.2
24717.8,19-03-2017 00:00,28934,1,3,13.8,100920,8,2017,0.5,0.8
32606.2,03-08-2018 00:00,29776.4,1,3,7.5,99660,5,2018,6.7,0
31664.8,15-10-2015 00:00,29939.8,1,10,11.2,102140,7,2015,1.7,0
32854.7,12-09-2012 00:00,34583.9,1,12,6.1,101930,6,2012,0.7,0
30616.9,22-07-2010 00:00,28053.7,1,7,18.2,101190,4,2010,6.5,6.2
31603.3,10-12-2012 00:00,31613.2,1,10,12.3,100580,5,2012,6.4,0
34172.1,20-10-2011 00:00,33244.7,1,10,7.8,102730,2,2011,7.3,0.2
34871.8,14-02-2010 00:00,37940.4,1,2,3,101650,7,2010,0,0.2
26508.3,22-10-2016 00:00,29929.1,1,10,9.8,101650,5,2016,1.8,0
29369.1,24-08-2012 00:00,29010.2,1,8,17.3,100480,8,2012,0.8,1
27307.9,13-06-2016 00:00,26416.2,1,6,16.5,100220,7,2016,0.7,3.4
30487.8,14-09-2010 00:00,31003,1,9,17.6,101600,6,2010,0,2.8
21674.6,13-05-2020 00:00,23747.3,1,5,9.7,101710,4,2020,8.7,0
21653.9,09-07-2019 00:00,25074.2,1,9,14.6,102340,6,2019,2.8,0
31876.1,30-10-2018 00:00,29758.3,1,10,6.7,99730,7,2018,0,0
33532.5,31-03-2011 00:00,31953.6,1,3,13.7,101180,6,2011,2.5,0
23332.9,09-03-2016 00:00,25776.6,1,9,16.8,101550,5,2016,4,4.8
31597.5,28-12-2012 00:00,33380,1,12,9,101660,8,2012,0,0.8
30969.6,09-07-2009 00:00,30373.4,1,9,18,101830,7,2009,0.3,0
38934.4,22-02-2013 00:00,36455,1,2,1.4,102070,8,2013,0.1,0
29185.3,24-10-2019 00:00,27348.6,1,10,10.4,100560,7,2019,0,5.6
24490.4,23-04-2019 00:00,25030.8,1,4,17.4,99710,4,2019,1.5,0
33122.7,03-01-2016 00:00,31631,1,3,8.7,101140,8,2016,0.3,6.4
31127.4,19-11-2011 00:00,34015.5,1,11,9.5,101670,1,2011,4.4,0.2
28541.5,10-12-2020 00:00,26660.9,1,10,9.9,102070,7,2020,6.1,4
21330.2,15-09-2019 00:00,23798.9,1,9,18.2,102430,0,2019,10,0.2
35357.1,19-02-2014 00:00,33092.4,1,2,7.6,101120,6,2014,0.1,0.8
30254.7,29-07-2009 00:00,30602.5,1,7,18.1,101240,8,2009,0.6,2.8
27996.2,04-03-2011 00:00,32285.7,1,4,10.3,101430,4,2011,5,0
34997.8,23-11-2009 00:00,34351.8,1,11,10.9,99960,5,2009,1,1
34509.5,03-12-2012 00:00,33126.5,1,3,9.3,103510,4,2012,4.8,0
25370.4,10-05-2014 00:00,30460.4,1,10,10.2,101920,0,2014,9,0.2
29938.9,19-08-2010 00:00,29622.6,1,8,17,101240,5,2010,3.2,0
28178.8,04-10-2010 00:00,31451.1,1,4,12.7,103310,2,2010,9.3,0
29877.6,10-12-2015 00:00,29911,1,10,11.1,101960,5,2015,5.4,0
30451.4,27-08-2009 00:00,29497.9,1,8,20,101190,7,2009,5.3,0
37750.2,02-12-2015 00:00,33445.7,1,2,5.7,102010,7,2015,0,0.2
24572.1,16-06-2013 00:00,27960.2,1,6,14.9,101380,6,2013,2.5,0.2
36117.1,03-08-2012 00:00,33679.8,1,3,6.8,103080,3,2012,5.1,0
26221.3,22-08-2009 00:00,28985.5,1,8,17,102260,4,2009,8.3,0
36203.8,22-01-2011 00:00,37238,1,1,2.9,103730,7,2011,0.6,0.2
31196.8,07-08-2010 00:00,26455.7,1,7,21.8,101790,4,2010,4.9,0
26502.7,05-11-2017 00:00,26310.1,1,5,14.8,99650,5,2017,2.4,2
28092,26-09-2017 00:00,25791.3,1,9,17.5,102210,5,2017,3.7,0
30654.4,26-06-2009 00:00,28804.7,1,6,19.9,101210,5,2009,3.4,0
32161.4,29-10-2013 00:00,31551.2,1,10,10.3,101060,1,2013,6.5,0
35456.6,15-11-2012 00:00,33485.7,1,11,7.1,102270,6,2012,1.3,0
32526.8,14-11-2016 00:00,30173.8,1,11,9.4,102960,8,2016,0,0.2
35697.6,01-08-2014 00:00,33242.7,1,1,9.4,101190,4,2014,0.9,3.6
34075.7,25-11-2015 00:00,31575.9,1,11,7.9,101220,6,2015,0.2,0
30742.1,11-12-2015 00:00,29881.7,1,11,13.4,102040,5,2015,2.1,0.6
25751.1,19-06-2010 00:00,30368.9,1,6,11.8,101780,5,2010,4.2,0
29390.7,15-03-2017 00:00,28399.4,1,3,13,103250,3,2017,8.3,0
29551.1,27-10-2016 00:00,28972.5,1,10,12.2,103190,6,2016,2.8,0
27542,21-09-2017 00:00,26395.2,1,9,16,101570,7,2017,1.2,2.8
31385.2,04-08-2011 00:00,29913.6,1,4,14.5,102720,1,2011,12.5,0
23086.3,30-05-2019 00:00,23489.2,1,5,17.9,102100,7,2019,4.6,0
23203.9,28-04-2019 00:00,26996.8,1,4,10.9,102010,8,2019,1.1,0
20083.1,05-11-2020 00:00,26069.1,1,5,8.6,101910,5,2020,3.9,0
27412.8,07-09-2014 00:00,25839.9,1,7,17.7,101790,3,2014,5.3,0
27522.1,17-10-2017 00:00,27871.9,1,10,12.8,101880,4,2017,1.6,0.2
31984.2,05-08-2012 00:00,29832.7,1,5,14,100710,7,2012,2.8,2.2
35032.3,25-03-2009 00:00,34369,1,3,9.6,100490,5,2009,4.4,0.6
35919.1,02-05-2014 00:00,33565,1,2,7.8,98190,6,2014,1.1,1.6
35142.7,01-07-2014 00:00,32512.3,1,1,10.5,100300,4,2014,1.4,5.2
25278.6,06-08-2018 00:00,23055.5,1,6,18.5,101700,6,2018,6.3,0
25973.5,09-06-2014 00:00,26644.1,1,9,19,101430,1,2014,2,0
27510.1,10-11-2014 00:00,29682.7,1,10,13.6,101120,4,2014,5.5,0.2
27482.3,18-04-2010 00:00,31336.1,1,4,11.4,101530,1,2010,12.1,0
